Cluster,uplift_score,cluster
1,0.8138293125279497,1
2,0.7873618930358952,2
3,0.8960536563269246,3
1,0.7826625092012585,1
1,0.8474615099000244,1
2,0.772051084060903,2
1,0.8668237093264088,1
1,0.869286477407027,1
1,0.8580991338308201,1
3,0.9009637172628002,3
1,0.896698758058625,1
3,0.8691918469661528,3
1,0.7799225043155884,1
1,0.9078128227431714,1
3,0.7618938687944514,3
3,0.8862055525509767,3
1,0.7830995726271663,1
2,0.7631740076977462,2
3,0.7759776317277336,3
1,0.7497900487367009,1
3,0.826030896969763,3
1,0.769994718466573,1
2,0.757683457871783,2
1,0.8240473842274332,1
2,0.7423074986125036,2
1,0.8525472739040216,1
1,0.8804314821848491,1
1,0.8932815570738157,1
2,0.7877025260054247,2
3,0.7805925639804303,3
2,0.7957715251036155,2
3,0.8563001670735568,3
2,0.8024650055826661,2
1,0.8134187286255901,1
1,0.8369486194568747,1
3,0.779205556306449,3
1,0.8191836658217204,1
1,0.7614729320823721,1
1,0.7618701750367904,1
3,0.8871936231889652,3
1,0.8638295470555872,1
1,0.8100160024214065,1
3,0.8480731881108443,3
2,0.7664563472586872,2
3,0.7767601707116762,3
3,0.753020348331159,3
0,0.7465503507473821,0
0,0.7895459794726272,0
3,0.8479239436372024,3
1,0.8760462405224374,1
1,0.8352947256610042,1
0,0.779283817244137,0
1,0.7522762673812844,1
3,0.848824742917677,3
1,0.7824806792584216,1
3,0.8163378468378217,3
1,0.8443081827106054,1
1,0.8912786299571158,1
3,0.8041203871778031,3
0,0.7785083408734836,0
3,0.8296382352841891,3
1,0.8659967549403618,1
1,0.8728990449734033,1
3,0.773592543759732,3
1,0.8091822958188823,1
1,0.8529703969244349,1
1,0.8510790420828027,1
1,0.7768328031985028,1
2,0.743169264066917,2
2,0.7797605030701567,2
1,0.743009525442333,1
1,0.7668137948521925,1
1,0.8398575642187933,1
0,0.7494029109708737,0
1,0.8181016992979928,1
3,0.7721688907126014,3
3,0.7661821541990901,3
3,0.8336905670412604,3
2,0.7832727009975284,2
3,0.7976055810724079,3
1,0.8833190114513971,1
3,0.7546287217418897,3
3,0.8470369535917444,3
1,0.8034544061618845,1
3,0.7844765061140924,3
1,0.8477167537415793,1
0,0.7551827718240824,0
3,0.8464886764731587,3
1,0.8342691139359106,1
1,0.8471776347129543,1
0,0.7671041991904075,0
0,0.8128404057416412,0
1,0.8299628910690025,1
3,0.8093070053768436,3
1,0.7853895038321597,1
1,0.8639434888905229,1
1,0.7853894595376445,1
2,0.7504719369186765,2
3,0.7974333487500525,3
1,0.8696622355978147,1
1,0.8193098099478593,1
3,0.798016545091206,3
2,0.7477734434102425,2
1,0.8363656778707798,1
1,0.8414037615479149,1
1,0.8549729642021822,1
1,0.8440043610402461,1
0,0.7421491045375768,0
1,0.7647902063889069,1
3,0.7695369632889426,3
1,0.8912786299571158,1
1,0.8762679634621058,1
1,0.8728099154137654,1
1,0.8574401605592705,1
0,0.7629100693897919,0
1,0.8941970910820967,1
3,0.8578128000085863,3
1,0.8292369470919825,1
3,0.8489013240084642,3
1,0.7441922085062307,1
0,0.806296640477195,0
1,0.8487515525505049,1
2,0.7971260863101879,2
1,0.7986638500139285,1
1,0.8029915108477212,1
1,0.7885771150753353,1
1,0.8551652610482117,1
3,0.8524754861484412,3
3,0.8362059356615565,3
1,0.7776582775995331,1
3,0.8530024439359334,3
1,0.8228505977754028,1
3,0.8317204837234222,3
3,0.8666675422732766,3
1,0.8405990154012928,1
3,0.8947353981170132,3
2,0.743233586053853,2
2,0.7771232979081482,2
1,0.8859892061102872,1
3,0.8020951755259751,3
1,0.7973855424921001,1
3,0.7538816601705607,3
1,0.809344080983661,1
1,0.8010346270774225,1
2,0.7494088519592141,2
1,0.8048395866296882,1
1,0.8401753813970112,1
1,0.7697450396785264,1
1,0.8557096506692585,1
1,0.8592094604799063,1
1,0.8236519046379607,1
1,0.7678125568962317,1
2,0.7473906725026251,2
3,0.8347795894582748,3
1,0.7735914294466917,1
3,0.7675303793906461,3
3,0.8308124236251473,3
3,0.9109244537011134,3
1,0.8683188532551882,1
1,0.794425747783668,1
1,0.8295594396537589,1
3,0.8339542044802533,3
1,0.7671295717022968,1
1,0.8091661912762576,1
2,0.7798234993199762,2
1,0.8062849508809558,1
1,0.7759513311688699,1
1,0.8291171500795695,1
0,0.8027798801895636,0
3,0.7474029350084481,3
1,0.804486657691734,1
3,0.8433892464533823,3
1,0.8166497579961232,1
3,0.7586398773121286,3
1,0.9081003379509618,1
